index,word,pos_tag,chunk_tag,ne_label,nested_ne_label
783,Ngọc,Np,I-NP,I-PER,O
785,Ông,N,B-NP,O,O
786,Tô,Np,I-NP,B-PER,O
787,Chí,Np,I-NP,I-PER,O
788,Quang,Np,I-NP,I-PER,O
790,Bà,N,B-NP,O,O
791,Võ,Np,I-NP,B-PER,O
792,Thị,N,I-NP,I_PER,O
793,Yến,Np,I-NP,I-PER,O
795,Ông,N,B-NP,O,O
796,Tô,Np,I-NP,B-PER,O
797,Đức,Np,I-NP,I-PER,O
798,Phúc,Np,I-NP,I-PER,O
800,Bà,N,B-NP,O,O
801,Tô,Np,I-NP,B-PER,O
802,Kim,Np,I-NP,I-PER,O
803,Hồng,Np,I-NP,I-PER,O
805,Có,V,B-VP,O,O
806,đơn,N,B-NP,O,O
807,xin,V,B-VP,O,O
808,vắng,N,B-PP,O,O
809,mặt,N,B-NP,O,O
811,thống_nhất,V,B-VP,O,O
812,với,E,B-PP,O,O
813,lời_khai,N,B-NP,O,O
814,của,E,B-PP,O,O
815,bà,N,B-NP,O,O
816,Tô,Np,I-NP,B-PER,O
817,Yến,Np,I-NP,I_PER,O
818,Hoa,Np,I-NP,I-PER,O
820,Lê,Np,B-NP,B-PER,O
821,Văn,Np,I-NP,I-PER,O
822,N,Np,I-NP,I-PER,O
823,khai,V,B-VP,O,O
824,nhận,V,B-VP,O,O
826,Người,N,B-NP,O,O
827,đại_diện,N,I-NP,O,O
828,theo,E,B-PP,O,O
829,uỷ_quyền,N,B-NP,O,O
830,:,CH,O,O,O
831,Bà,N,B-NP,B-PER,O
832,Tô,Np,I-NP,I-PER,O
833,Yến,Np,I-NP,I-PER,O
834,Hoa,Np,I-NP,I-PER,O
837,sinh,V,B-VP,O,O
838,năm,N,B-NP,O,O
839,1954,M,I-NP,O,O
840,.,CH,O,O,O
841,(,CH,O,O,O
842,Có,R,B-VP,O,O
843,mặt,N,B-NP,O,O
844,),CH,O,O,O
845,Ông,N,B-NP,O,O
846,Trịnh,Np,I-NP,B-PER,O
847,Minh,Np,I-NP,I-PER,O
848,khai,V,B-VP,O,O
849,nhận,V,B-VP,O,O
850,.,CH,O,O,O
851,Ông,N,B-NP,O,O
852,Nguyễn,Np,I-NP,B-PER,O
853,Văn,Np,I-NP,I-PER,O
854,Anh,Np,I-NP,I-PER,O
855,đến,V,B-VP,O,O
856,từ,E,B-PP,O,O
857,Thành_phố,N,B-NP,LOC,B-LOC
858,Hồ_Chí_Minh,Np,I-NP,LOC,I-LOC
859,để,C,O,O,O
860,gặp,V,B-VP,O,O
861,Bà,N,B-NP,O,O
862,Lê,Np,I-NP,B-PER,O
863,Thị,N,I-NP,I-PER,O
864,Mai,Np,I-NP,I-PER,O
865,ở,V,B-PP,O,O
866,Quận_1,N,I-NP,LOC,O
867,khi,C,O,O,O
868,cô,N,B-NP,O,O
869,Hương,Np,I-NP,B-PER,O
870,tới,V,B-VP,O,O
871,Thành_phố,N,B-NP,LOC,B-LOC
872,Hà_Nội,Np,I-NP,LOC,I-LOC
873,Bà,N,B-PER,O,O
874,Tô,Np,I-PER,B-PER,O
875,Mỹ,Y,I-PER,I-PER,O
876,Yến,N,I-PER,I-PER,O
878,bà,N,B-PER,O,O
879,Tô,Np,I-PER,B-PER,O
880,Mỹ,Y,I-PER,I-PER,O
881,Châu,N,I-PER,I-PER,O
883,bà,N,B-PER,O,O
884,Tô,Np,I-PER,B-PER,O
885,Mỹ,Y,I-PER,I-PER,O
886,Ngọc,N,I-PER,I-PER,O
888,ông,N,B-PER,O,O
889,Tô,Np,I-PER,B-PER,O
890,Chí,N,I-PER,I-PER,O
891,Quang,N,I-PER,I-PER,O
893,bà,N,B-PER,O,O
894,Võ,Np,I-PER,B-PER,O
895,Thị,N,I-PER,B-PER,O
896,Yến,N,I-PER,I-PER,O
898,ông,N,B-PER,O,O
899,Tô,Np,I-PER,B-PER,O
900,Đức,N,I-PER,I-PER,O
901,Phúc,N,I-PER,I-PER,O
903,bà,N,B-PER,O,O
904,Tô,Np,I-PER,B-PER,O
905,Kim,N,I-PER,I-PER,O
906,Hồng,N,I-PER,I-PER,O
908,có,V,B-VP,O,O
909,đơn,N,B-NP,O,O
910,xin,V,B-VP,O,O
911,vắng,N,B-PP,O,O
912,mặt,N,B-NP,O,O
914,thống_nhất,V,B-VP,O,O
916,lời,N,B-NP,O,O
917,khai,N,B-VP,O,O
919,bà,N,B-PER,O,O
920,Tô,Np,I-PER,B-PER,O
921,Yến,N,I-PER,I-PER,O
922,Hoa,Np,I-PER,I-PER,O
923,.,CH,O,O,O
